CellName,oss_counter,MAE,RMSE,MAPE
10ALTE,PRBUsageUL,4.695292617983506,6.907275520845299,39.23031601179197
10BLTE,PRBUsageUL,1.4591594999460737,1.9874749465428747,47.865253663263324
10CLTE,PRBUsageUL,1.4499808418822215,1.9298856143369942,37.20450437041269
1ALTE,PRBUsageUL,3.824915923783827,4.985617271081496,
1BLTE,PRBUsageUL,3.0800759375945006,4.148859468625751,33.8623562859439
1CLTE,PRBUsageUL,2.9331280783187563,3.796221746059597,
2ALTE,PRBUsageUL,0.18957504394421973,0.2860781950487912,
3ALTE,PRBUsageUL,3.657139923679519,4.94088954774063,40.24125493763542
3BLTE,PRBUsageUL,3.7665531237938126,5.405762794357648,29.887476482154963
3CLTE,PRBUsageUL,1.7800314687613394,2.4903946134739514,35.58099148615533
4ALTE,PRBUsageUL,1.3627773303155577,1.7888566025263335,
4BLTE,PRBUsageUL,2.8680623639026805,3.8281257847877233,15.677124548777169
4CLTE,PRBUsageUL,3.126804548973622,4.2522421122961465,
5ALTE,PRBUsageUL,1.724955569206865,2.3584684088560066,
5BLTE,PRBUsageUL,3.7897697639979113,5.494406693216807,
5CLTE,PRBUsageUL,2.7537240841770156,3.69547343717872,25.313861044453894
6ALTE,PRBUsageUL,2.642140674122231,4.024240364554114,83.83073297237273
6BLTE,PRBUsageUL,3.420387905528018,4.721624054454043,21.143162944393023
6CLTE,PRBUsageUL,1.3354275586939257,1.8123697331785447,28.4210483543758
6ULTE,PRBUsageUL,0.5755940157558457,0.7740902342131738,
6VLTE,PRBUsageUL,0.49077869426943826,0.664357171262605,29.926959066781382
6WLTE,PRBUsageUL,1.4700942859826416,1.905566444925813,105.33967956409553
7ALTE,PRBUsageUL,0.2259908210368967,0.33743723308221873,
7BLTE,PRBUsageUL,0.19256911603446072,0.30763516145194664,
7CLTE,PRBUsageUL,0.2341946002078068,0.4471015152917084,
7ULTE,PRBUsageUL,0.5777115218849461,0.8812176596157845,44.484129497782185
7VLTE,PRBUsageUL,0.4841310505462837,0.7494709255750495,43.807333613169135
